timestamp,bitcoin_open,bitcoin_close,bitcoin_high,bitcoin_low,bitcoin_total_volume,bitcoin_market_cap,bitcoin_log_return_1,hilo_high_ma,hilo_low_ma,signal,enter_long,enter_short,strategy_returns,position_change,transaction_cost,strategy_returns_gross,label,barrier_touched,days_to_barrier,return_at_barrier,volatility
2023-02-27,23547.0,23518.0,23868.0,23174.0,28832423816.478718,454364917718.867,-0.0009774964122217858,24010.6,23244.2,-1,False,False,0.0009774964122217858,0,0.0,0.0009774964122217858,0.0,lower,4.0,-0.0502,0.0244
2023-02-28,23483.0,23156.0,23552.0,23063.0,25534054046.06684,446010055987.85736,-0.015512159184465786,23893.8,23152.2,-1,False,False,0.015512159184465786,0,0.0,0.015512159184465786,0.0,time,5.0,-0.0322,0.0237
2023-03-01,23147.0,23634.0,23884.0,23079.0,32507897259.084335,456417315966.7193,0.020432427000065534,23677.8,23033.2,-1,False,False,-0.020432427000065534,0,0.0,-0.020432427000065534,0.0,lower,2.0,-0.0551,0.0234
2023-03-02,23622.0,23464.0,23693.0,23227.0,27432755758.440197,453067155320.8529,-0.0072190215416739565,23646.0,23053.4,-1,False,False,0.0072190215416739565,0,0.0,0.0072190215416739565,0.0,lower,1.0,-0.0479,0.0224
2023-03-03,23469.0,22367.0,23488.0,22215.0,34239649135.070206,431727585101.1504,-0.04788067334701684,23737.6,23123.6,-1,False,False,0.04788067334701684,0,0.0,0.04788067334701684,0.0,time,5.0,-0.0297,0.0258
2023-03-04,22362.0,22348.0,22465.0,22158.0,13392431931.930376,431837491811.49384,-0.000849826731230754,23697.0,22951.6,-1,False,False,0.000849826731230754,0,0.0,0.000849826731230754,0.0,lower,5.0,-0.0924,0.0245
2023-03-05,22381.0,22422.0,22671.0,22267.0,16080097920.160833,433081135066.3954,0.0033057881344994103,23416.4,22748.4,-1,False,False,-0.0033057881344994103,0,0.0,-0.0033057881344994103,0.0,lower,4.0,-0.0957,0.0235
2023-03-06,22433.0,22415.0,22576.0,22356.0,21124920006.057713,432758824798.3097,-0.0003122421239990614,23240.2,22589.2,-1,False,False,0.0003122421239990614,0,0.0,0.0003122421239990614,0.0,lower,3.0,-0.0954,0.0223
2023-03-07,22414.0,22217.0,22559.0,22011.0,27780357943.162678,427994888566.54205,-0.008872616012412269,22978.6,22444.6,-1,False,False,0.008872616012412269,0,0.0,0.008872616012412269,0.0,lower,2.0,-0.0865,0.0213
2023-03-08,22202.0,21713.0,22292.0,21683.0,28493032424.783108,419694984165.3824,-0.022946602083355635,22751.8,22201.4,-1,False,False,0.022946602083355635,0,0.0,0.022946602083355635,0.0,lower,1.0,-0.0636,0.0211
2023-03-09,21731.0,20376.0,21824.0,20207.0,40173833477.660774,392841773384.4403,-0.06355342183447898,22512.6,22095.0,-1,False,False,0.06355342183447898,0,0.0,0.06355342183447898,1.0,upper,3.0,0.081,0.0266
2023-03-10,20368.0,20195.0,20368.0,19647.57,51593890225.48742,390202255053.33545,-0.008922688661779721,22384.4,21704.8,-1,False,False,0.008922688661779721,0,0.0,0.008922688661779721,1.0,upper,2.0,0.09,0.0253
2023-03-11,20161.0,20522.0,20681.0,19950.03,37746654239.61721,394742728281.98926,0.016062432424641282,21923.8,21180.913999999997,-1,False,False,-0.016062432424641282,0,0.0,-0.016062432424641282,1.0,upper,1.0,0.0739,0.0254
2023-03-12,20482.0,22096.0,22096.0,20335.0,36639901908.82403,425816781283.92786,0.0738991152269188,21544.8,20699.719999999998,1,True,False,-0.0748991152269188,1,0.001,-0.0738991152269188,1.0,upper,1.0,0.0901,0.0346
2023-03-13,22192.0,24179.0,24469.0,21993.0,66799159801.958115,466509005562.78174,0.09008789117153757,21452.2,20364.519999999997,1,False,False,0.09008789117153757,0,0.0,0.09008789117153757,1.0,upper,4.0,0.1275,0.0427
2023-03-14,24202.0,24759.0,26402.0,24102.0,70714394276.37074,478406045309.6089,0.023704571440183037,21887.6,20426.519999999997,1,False,False,0.023704571440183037,0,0.0,0.023704571440183037,1.0,upper,3.0,0.1038,0.0409
2023-03-15,24782.0,24471.0,25239.0,24178.0,63107437928.81401,472833547484.0809,-0.011700316292103788,22803.2,21205.519999999997,1,False,False,-0.011700316292103788,0,0.0,-0.011700316292103788,1.0,upper,2.0,0.1155,0.0395
2023-03-16,24417.0,25161.0,25230.0,24322.0,60688056874.81415,486375597562.7987,0.0278064336838312,23777.4,22111.606,1,False,False,0.0278064336838312,0,0.0,0.0278064336838312,1.0,upper,1.0,0.0877,0.038
2023-03-17,25166.0,27467.0,27811.0,25052.0,64617615617.80156,530038219067.3334,0.08769010742562257,24687.2,22986.0,1,False,False,0.08769010742562257,0,0.0,0.08769010742562257,0.0,time,5.0,-0.0007,0.0431
2023-03-18,27454.0,27108.0,27805.0,26685.0,46473651090.578415,523262280970.14777,-0.013156396822140225,25830.2,23929.4,1,False,False,-0.013156396822140225,0,0.0,-0.013156396822140225,1.0,time,5.0,0.0487,0.042
2023-03-19,27125.0,28187.0,28509.0,27010.0,46394763656.038155,546680822196.2155,0.03903199147250227,26497.4,24867.8,1,False,False,0.03903199147250227,0,0.0,0.03903199147250227,0.0,time,5.0,-0.0212,0.0407
2023-03-20,28133.0,27929.0,28504.0,27252.0,55315948514.426994,538935400013.3555,-0.009195303225456872,26918.8,25449.4,1,False,False,-0.009195303225456872,0,0.0,-0.009195303225456872,0.0,time,5.0,-0.0093,0.0395
2023-03-21,27961.0,28264.0,28618.0,27542.0,34430928756.27183,545917428270.10583,0.01192333453593218,27571.8,26064.2,1,False,False,0.01192333453593218,0,0.0,0.01192333453593218,0.0,time,5.0,-0.0077,0.0375
2023-03-22,28294.0,27449.0,28907.0,26980.0,35394833933.50181,530515158753.954,-0.02925917263738383,28249.4,26708.2,1,False,False,-0.02925917263738383,0,0.0,-0.02925917263738383,0.0,time,5.0,-0.0098,0.038
2023-03-23,27436.0,28460.0,28854.0,27365.0,20360807194.56342,549578396178.6341,0.03616985524224612,28468.6,27093.8,1,False,False,0.03616985524224612,0,0.0,0.03616985524224612,0.0,time,5.0,-0.0419,0.037
