date,mvrv_z_score
2020-06-09,1.2172936497688198
2020-06-10,1.2390635209766767
2020-06-11,1.072941673464618
2020-06-12,1.1197466070482962
2020-06-13,1.1172981946309617
2020-06-14,1.0894160883152608
2020-06-15,1.109909397625162
2020-06-16,1.1292357665348365
2020-06-17,1.1111246554188985
2020-06-18,1.0829721830988277
2020-06-19,1.058156349901389
2020-06-20,1.065392377688607
2020-06-21,1.0550702944968833
2020-06-22,1.1575698516964965
2020-06-23,1.1495743469870203
2020-06-24,1.0554346254133993
2020-06-25,1.0400935127975708
2020-06-26,1.0045091493783014
2020-06-27,0.969418794539055
2020-06-28,0.9952189379155356
2020-06-29,1.0074420854566493
2020-06-30,1.0059440673387714
2020-07-01,1.0210223917261256
2020-07-02,0.9889418671534388
2020-07-03,0.968566465786267
2020-07-04,0.9859120157335788
2020-07-05,0.9733998398177268
2020-07-06,1.0496593944553012
2020-07-07,1.0238438410162332
2020-07-08,1.070564343006892
2020-07-09,1.0292927303730537
2020-07-10,1.025130249274118
2020-07-11,1.01536518082923
2020-07-12,1.0248022454397283
2020-07-13,1.014647952581095
2020-07-14,1.0143605694559712
2020-07-15,0.9976174362769562
2020-07-16,0.9800258920575216
2020-07-17,0.983528273403969
2020-07-18,0.9883929749656438
2020-07-19,0.9958657898959368
2020-07-20,0.9831702700047036
2020-07-21,1.0482619130875666
2020-07-22,1.0914095815528408
2020-07-23,1.105922556688252
2020-07-24,1.091968437243298
2020-07-25,1.132105072623511
2020-07-26,1.197525369395128
2020-07-27,1.5237755407886244
2020-07-28,1.487779010650326
2020-07-29,1.5367021706248032
2020-07-30,1.5432838479108215
2020-07-31,1.5928785485831811
2020-08-01,1.720085786128413
2020-08-02,1.507983476128984
2020-08-03,1.5556742951720002
2020-08-04,1.5422381860615615
2020-08-05,1.682687073125437
2020-08-06,1.6979895285878277
2020-08-07,1.6330353907418922
2020-08-08,1.6765917110388493
2020-08-09,1.6532153188328638
2020-08-10,1.7036258619334637
2020-08-11,1.5662397368616614
2020-08-12,1.610132551799898
2020-08-13,1.671404802020246
