date,hash_rate_mean
2023-01-15,279033676567658430000
2023-01-16,274704740512159900000
2023-01-17,294885422999385470000
2023-01-18,258514624435607670000
2023-01-19,270425752222111240000
2023-01-20,246896550160056600000
2023-01-21,259040438724782900000
2023-01-22,285360463677740320000
2023-01-23,290774479260462450000
2023-01-24,242659973585416300000
2023-01-25,324591121629620000000
2023-01-26,290684224573236500000
2023-01-27,292340467732638660000
2023-01-28,314585493011870600000
2023-01-29,305496551188704130000
2023-01-30,273634608771983840000
2023-01-31,222558613334028160000
2023-02-01,269768597620008580000
2023-02-02,280816745809506800000
2023-02-03,260025963404855020000
2023-02-04,266165236473252020000
2023-02-05,296736591434043360000
2023-02-06,296996386014906160000
2023-02-07,271666518271629030000
2023-02-08,274960442243310500000
2023-02-09,311629681043358550000
2023-02-10,287550128030712070000
2023-02-11,301477999553422160000
2023-02-12,308128433487876700000
2023-02-13,298207160947361800000
2023-02-14,304525973676890800000
2023-02-15,312875644609397260000
2023-02-16,348032359015358600000
2023-02-17,321499583110146560000
2023-02-18,326004164157467850000
2023-02-19,316825101692815340000
2023-02-20,286589602368508070000
2023-02-21,324408037438345840000
2023-02-22,272740125521001100000
2023-02-23,334154484719416100000
2023-02-24,261828660246645930000
2023-02-25,226847186768309650000
2023-02-26,360428528118253300000
2023-02-27,298593764581318460000
2023-02-28,296119681019044800000
2023-03-01,361606351703039930000
2023-03-02,307874282282374700000
2023-03-03,358378654273457200000
2023-03-04,328411025560090400000
2023-03-05,336177275808725800000
2023-03-06,279292414519827170000
2023-03-07,349295371593593200000
2023-03-08,287628506166192470000
2023-03-09,287846700781784830000
2023-03-10,289380088030316600000
2023-03-11,358781057933307100000
2023-03-12,356249705297065400000
2023-03-13,334187056305063200000
2023-03-14,318343927383049960000
2023-03-15,314951305434987200000
2023-03-16,288805399616397870000
2023-03-17,319348033413488050000
2023-03-18,351118988446279700000
2023-03-19,320663905384886570000
2023-03-20,331311345883013400000
2023-03-21,314382451935343300000
2023-03-22,343971114232391600000
2023-03-23,398043102792546400000
2023-03-24,378771645302155300000
2023-03-25,338528302618326000000
2023-03-26,335244397711975840000
2023-03-27,346150929365192740000
2023-03-28,309937194003969700000
2023-03-29,341127341145819300000
2023-03-30,363122360539412500000
2023-03-31,326105448776667100000
2023-04-01,325871719984025760000
2023-04-02,347065551753840560000
2023-04-03,305127571766237800000
2023-04-04,379901872024584400000
2023-04-05,321964692715277300000
2023-04-06,376759099820795800000
2023-04-07,337244477069637000000
2023-04-08,349720982635044860000
2023-04-09,347402204239280870000
2023-04-10,293652872323225800000
2023-04-11,365111614530333800000
2023-04-12,385251944205232050000
2023-04-13,335358612490494740000
2023-04-14,332049787123314200000
2023-04-15,377379091306505300000
2023-04-16,299907940266918350000
2023-04-17,370325478770625800000
2023-04-18,392223593468963450000
2023-04-19,326351191274708100000
2023-04-20,319893422478575400000
2023-04-21,353792408123051700000
2023-04-22,361771755286005350000
2023-04-23,351554862090732440000
2023-04-24,347064223363077050000
2023-04-25,298429516389544000000
2023-04-26,314675699815527740000
2023-04-27,320701396811134700000
2023-04-28,356101637221633100000
2023-04-29,332767076049252250000
2023-04-30,351192507465908100000
2023-05-01,439437636807627440000
2023-05-02,315466980370967600000
2023-05-03,340364883956742550000
2023-05-04,349298380071922430000
2023-05-05,286481193164287050000
2023-05-06,358464770783297700000
2023-05-07,326896303072075250000
2023-05-08,327683364502264940000
2023-05-09,368496262019195800000
2023-05-10,394962803353997900000
2023-05-11,360708964981437560000
2023-05-12,336345537478764900000
2023-05-13,349012596148200540000
2023-05-14,411597975990292100000
2023-05-15,357545604948301000000
2023-05-16,359002134780365400000
2023-05-17,381020685654038100000
2023-05-18,350660539637137200000
2023-05-19,365807061270663000000
2023-05-20,320691572393587440000
2023-05-21,374887336021920250000
2023-05-22,351844074831089200000
2023-05-23,385148139335770100000
2023-05-24,346999988547873600000
2023-05-25,368224676938959400000
2023-05-26,375472460081644100000
2023-05-27,357476442023952450000
2023-05-28,394882194488745660000
2023-05-29,397733360920238360000
2023-05-30,381876565688269500000
2023-05-31,350764784102578850000
2023-06-01,338684221637399600000
2023-06-02,414696905594035000000
2023-06-03,330947908102767050000
2023-06-04,373869196729373900000
2023-06-05,352578415374701900000
2023-06-06,386762283353326940000
2023-06-07,342022708043662100000
2023-06-08,392091344437022750000
2023-06-09,431705627442311900000
2023-06-10,389611979086700500000
2023-06-11,416480330294919300000
2023-06-12,400136902322852130000
2023-06-13,375076204726796100000
2023-06-14,311448999260651850000
2023-06-15,387679143460749700000
2023-06-16,394249677218557100000
2023-06-17,369595504878025240000
2023-06-18,387749625791166800000
2023-06-19,369359058846399500000
2023-06-20,355661465896534500000
2023-06-21,312903889409619200000
2023-06-22,360347078118209500000
2023-06-23,324288412955973840000
2023-06-24,379342247909123500000
2023-06-25,399222978821627600000
2023-06-26,376514160451808400000
2023-06-27,364865943631919000000
2023-06-28,281168595692973950000
2023-06-29,367404845465380260000
2023-06-30,398104509915114800000
2023-07-01,335813460531918200000
2023-07-02,428951967355405140000
2023-07-03,347688868866735000000
2023-07-04,370573131969506640000
2023-07-05,377620271582048700000
2023-07-06,349236035436807060000
2023-07-07,436644471786824660000
2023-07-08,453153368887680760000
2023-07-09,422449118003312300000
2023-07-10,386856352137961400000
2023-07-11,344344665089833700000
2023-07-12,377161187674960600000
2023-07-13,321388086188460000000
2023-07-14,373597821091522100000
2023-07-15,368305493904156660000
2023-07-16,416166031191477000000
2023-07-17,363382390637784500000
2023-07-18,432927489940693800000
2023-07-19,402146515160735600000
2023-07-20,341427790600321700000
2023-07-21,297286957825537200000
2023-07-22,367460486995306600000
2023-07-23,385046817399642100000
2023-07-24,403363397896536200000
2023-07-25,368318229959504400000
2023-07-26,385572604507686600000
2023-07-27,354201243404795800000
2023-07-28,376224390556745500000
2023-07-29,346162135582522150000
2023-07-30,420385109127656830000
2023-07-31,373661952226201040000
2023-08-01,355383949336953800000
2023-08-02,404554455676830150000
2023-08-03,391561268868172800000
2023-08-04,318560510092333000000
2023-08-05,397812191404711600000
2023-08-06,424864972112516350000
2023-08-07,377424255684800350000
2023-08-08,328875696485978000000
2023-08-09,419478404261993640000
2023-08-10,328098011953343200000
2023-08-11,395053697899148540000
2023-08-12,432642997732968760000
2023-08-13,353786034237019460000
2023-08-14,442643871426790950000
2023-08-15,446506526821714360000
2023-08-16,423127940343514140000
2023-08-17,407197532080475540000
2023-08-18,363012936769804000000
2023-08-19,363989647887264500000
2023-08-20,424345558442830460000
2023-08-21,426783562888035700000
2023-08-22,378596561315262700000
2023-08-23,392628436231785100000
2023-08-24,390057997807902900000
2023-08-25,372488863344660100000
2023-08-26,373998592651205000000
2023-08-27,328475474018258260000
2023-08-28,320872483917800600000
2023-08-29,439569814116460660000
2023-08-30,344449720501078600000
2023-08-31,397859095450826830000
2023-09-01,417764772531833900000
2023-09-02,422488592939153300000
2023-09-03,435708374776948260000
2023-09-04,413044666752567100000
2023-09-05,342656369674464660000
2023-09-06,364188029180240300000
2023-09-07,390798167990936000000
2023-09-08,357721996568033400000
2023-09-09,410940178016940500000
2023-09-10,393474867771695560000
2023-09-11,429709972547585640000
2023-09-12,377792949017213200000
2023-09-13,394441814951798050000
2023-09-14,440788533263220200000
2023-09-15,501045562637073200000
2023-09-16,419474842739561000000
2023-09-17,400695980621028600000
2023-09-18,421220448671872100000
2023-09-19,385898567367252700000
2023-09-20,413979091364525050000
2023-09-21,393167510136094850000
2023-09-22,363712008889150340000
2023-09-23,445184370235107100000
2023-09-24,417214734582994570000
2023-09-25,406850389833988640000
2023-09-26,392377048310032900000
2023-09-27,449880193134457500000
2023-09-28,411960261820116960000
2023-09-29,411520790368523700000
2023-09-30,394772107071082660000
2023-10-01,398291806099372300000
2023-10-02,443314488855202800000
2023-10-03,467183560216473200000
2023-10-04,372542934925894550000
2023-10-05,402655745223813760000
2023-10-06,455235129405509340000
2023-10-07,488956731098164100000
2023-10-08,419222372132596300000
2023-10-09,447385603284032900000
2023-10-10,459195538756933100000
2023-10-11,455314059138744200000
2023-10-12,473720545863484000000
2023-10-13,392667527037712800000
2023-10-14,414716684367506050000
2023-10-15,477519146744990330000
2023-10-16,413420216948762500000
2023-10-17,490484832674079500000
2023-10-18,447448831697303800000
2023-10-19,431389825126301040000
2023-10-20,396643000901386630000
2023-10-21,453435095955016600000
2023-10-22,461710435231266960000
2023-10-23,480513643035081000000
2023-10-24,382061896206415100000
2023-10-25,434445964993444640000
2023-10-26,456101866175757550000
2023-10-27,466592112445571800000
2023-10-28,484351141093088300000
2023-10-29,416128940350103500000
2023-10-30,481761138995045600000
2023-10-31,480991730078796000000
2023-11-01,472483323670351250000
2023-11-02,439061165073266000000
2023-11-03,421490287514909200000
2023-11-04,521803756000512640000
2023-11-05,514463606876800700000
2023-11-06,389846083234109060000
2023-11-07,418953932208847060000
2023-11-08,462281792904853850000
2023-11-09,436379134432095800000
2023-11-10,479157768979621740000
2023-11-11,501343987672343300000
2023-11-12,499407788013592600000
2023-11-13,390783857784376500000
2023-11-14,443768132251899200000
2023-11-15,481358116242490850000
2023-11-16,469345731776058500000
2023-11-17,484487860208850040000
2023-11-18,476350762852217400000
2023-11-19,551374928983082000000
2023-11-20,531066215392967000000
2023-11-21,486524032629595500000
2023-11-22,459016762863289570000
2023-11-23,477965794829110900000
2023-11-24,530674714914626860000
2023-11-25,513652688445513470000
2023-11-26,496151410421973000000
2023-11-27,451589960956940700000
2023-11-28,488626946734415400000
2023-11-29,450794973772805500000
2023-11-30,451732472908072000000
2023-12-01,571239780388536650000
2023-12-02,428233428783845400000
2023-12-03,558955667699184760000
2023-12-04,527282697675289200000
2023-12-05,474847688584999300000
2023-12-06,451286973744181150000
2023-12-07,387658466574875160000
2023-12-08,452558066381403000000
2023-12-09,530518638459592400000
2023-12-10,469443490156213700000
2023-12-11,530114250369103400000
2023-12-12,484266223803740400000
2023-12-13,497446772342326200000
2023-12-14,502801926017267660000
2023-12-15,528346176316235400000
2023-12-16,507978747542983150000
2023-12-17,501306407687860060000
2023-12-18,562458079163231040000
2023-12-19,546050936002413400000
2023-12-20,483734948251232900000
2023-12-21,490872222259704760000
2023-12-22,557659356589043900000
2023-12-23,567058493171723900000
2023-12-24,607759025046598500000
2023-12-25,501530714697466250000
2023-12-26,494623198122931200000
2023-12-27,463039980808732900000
2023-12-28,430779451036148960000
2023-12-29,548533731290684260000
2023-12-30,516925491807291700000
2023-12-31,556063609654955930000
2024-01-01,556889412586803000000
2024-01-02,465523622224714800000
2024-01-03,562259441112881950000
2024-01-04,611470993826465300000
2024-01-05,494369656831742700000
2024-01-06,514359058511275200000
2024-01-07,422729050061869740000
2024-01-08,449220698681874800000
2024-01-09,556401421094877700000
2024-01-10,482030044996696700000
2024-01-11,630439202452754100000
2024-01-12,611085071969140200000
2024-01-13,575650944489449800000
2024-01-14,468614041455213740000
2024-01-15,412911560733486150000
2024-01-16,462635892688724400000
2024-01-17,434456644194856500000
2024-01-18,515724742943784200000
2024-01-19,490385124173842100000
2024-01-20,501062630178682600000
2024-01-21,501306521520491400000
2024-01-22,545182523332338840000
2024-01-23,539061766072075700000
2024-01-24,523840249000591800000
2024-01-25,638246061033905200000
2024-01-26,527750228193585600000
2024-01-27,601453520944325000000
2024-01-28,555303199231582400000
2024-01-29,556087621100828900000
2024-01-30,495340190329928550000
2024-01-31,468552112484788000000
2024-02-01,527421893065846900000
2024-02-02,676857565201907300000
2024-02-03,568402604291521000000
2024-02-04,578171006849126700000
2024-02-05,579375309945262500000
2024-02-06,638359925686164900000
2024-02-07,603170113242127900000
2024-02-08,523839348155034240000
2024-02-09,613605338476639300000
2024-02-10,569548761702661600000
2024-02-11,523117402233196700000
2024-02-12,661387362148398400000
2024-02-13,507085551565964700000
2024-02-14,521277057549671140000
2024-02-15,609416042740131200000
2024-02-16,542196494009810300000
2024-02-17,610023444545482000000
2024-02-18,491027403451811560000
2024-02-19,552217784962172500000
2024-02-20,573907442151249540000
2024-02-21,569154518650908600000
2024-02-22,551500327609325500000
2024-02-23,631808713616996600000
2024-02-24,556999862497178800000
2024-02-25,667941802427406100000
2024-02-26,540887454163660300000
2024-02-27,529627414893438700000
2024-02-28,596903822329963700000
2024-02-29,544673855662880900000
2024-03-01,603309341498429800000
2024-03-02,508278783344976000000
2024-03-03,606982581945346000000
2024-03-04,504992073672939730000
2024-03-05,661284394471249100000
2024-03-06,549764718580620000000
2024-03-07,711092701399329700000
2024-03-08,607773439911329800000
2024-03-09,649307839829688300000
2024-03-10,558124196356608950000
2024-03-11,678778973388086300000
2024-03-12,551398061854436160000
2024-03-13,630379856829321700000
2024-03-14,577991088138404000000
2024-03-15,530287200851617640000
2024-03-16,602862334851965100000
2024-03-17,607672170171929300000
2024-03-18,605188306490435200000
2024-03-19,654188212688998500000
2024-03-20,617620428250668000000
2024-03-21,501442040259693900000
2024-03-22,563854365791929570000
2024-03-23,651595237570204900000
2024-03-24,711596801405187100000
2024-03-25,547443177265653900000
2024-03-26,562034533291148050000
2024-03-27,565046285116209000000
2024-03-28,633604791310934600000
2024-03-29,593007760805705000000
2024-03-30,642852317776394500000
2024-03-31,566973451879466800000
2024-04-01,618994431777348900000
2024-04-02,612149176641672400000
2024-04-03,586096558058196100000
2024-04-04,567376349393487660000
2024-04-05,610910638640050900000
2024-04-06,643181066056056800000
2024-04-07,704883689270369200000
2024-04-08,648343031347286900000
2024-04-09,603974848601498700000
2024-04-10,625898088486195600000
