date,dormancy_flow
2024-02-15,353388.49649530783
2024-02-16,353622.2226379142
2024-02-17,348961.498299284
2024-02-18,350810.1213370827
2024-02-19,347279.02744462335
2024-02-20,349866.75578627456
2024-02-21,344072.56287845987
2024-02-22,339924.43405787396
2024-02-23,331005.08297175827
2024-02-24,335964.0297253764
2024-02-25,335586.33402552607
2024-02-26,352653.3303705516
2024-02-27,368080.1102171296
2024-02-28,401586.8378285197
2024-02-29,392257.93756372144
2024-03-01,395175.9876452539
2024-03-02,390369.0753197988
2024-03-03,394188.93594785774
2024-03-04,425506.8180756624
2024-03-05,397134.8522288231
2024-03-06,406070.48305762495
2024-03-07,408050.1459154314
2024-03-08,413217.0844084576
2024-03-09,410608.138076876
2024-03-10,408840.9770723548
2024-03-11,424755.6829296427
2024-03-12,418069.7459050402
2024-03-13,426194.1071934904
2024-03-14,413544.4151555947
2024-03-15,400750.9647314376
2024-03-16,374394.6409232262
2024-03-17,391782.220480487
2024-03-18,387365.707957466
2024-03-19,353407.4073880605
2024-03-20,383664.0401283394
2024-03-21,367319.20944211585
2024-03-22,355666.05698094575
2024-03-23,343268.20527350163
2024-03-24,355795.61272231134
2024-03-25,368269.9118305422
2024-03-26,365943.9284789441
2024-03-27,361550.776502107
2024-03-28,366429.66932952974
2024-03-29,360817.28515905817
2024-03-30,358738.4048091049
2024-03-31,364394.3983845277
2024-04-01,356176.7150541263
2024-04-02,332515.89594364853
2024-04-03,334810.74138711614
2024-04-04,345908.9873791134
2024-04-05,341675.3897038089
2024-04-06,345900.93230266374
2024-04-07,347364.9813015616
2024-04-08,357410.5803508587
2024-04-09,343794.18039957876
2024-04-10,349650.05639181874
2024-04-11,346712.8414589387
2024-04-12,331449.14962526615
2024-04-13,317567.6549960856
2024-04-14,322735.34156586387
2024-04-15,310921.7364762117
2024-04-16,311322.01867172064
2024-04-17,298696.5555357193
2024-04-18,308990.74519445776
2024-04-19,310169.84707422263
2024-04-20,313520.5135471642
2024-04-21,313031.11304406036
2024-04-22,321034.5501766191
2024-04-23,318104.9172384343
2024-04-24,306446.63689702493
2024-04-25,307424.3469583956
2024-04-26,303257.8950480107
2024-04-27,300659.68919330434
2024-04-28,297576.4376958617
2024-04-29,301654.9025032743
2024-04-30,285970.9308555997
2024-05-01,273952.03018594533
2024-05-02,277423.75150018843
2024-05-03,295245.1787577496
2024-05-04,297590.98839039303
2024-05-05,298248.54538781353
2024-05-06,293089.50666630926
2024-05-07,289121.3782815313
2024-05-08,282657.6942159089
2024-05-09,290805.86083527294
